Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
int num = scan.nextInt();,"Creates the variable ""num""",We read the input integer by calling the nextInt() method because this input is an integer.,1
int num = scan.nextInt();,"Creates the variable ""num""",We need to read the integer that the user enters and store it in a variable.,2
point.setX(7);,This sets the x variable defined by the Point1 object to 7.,This statement invokes the method setX of the point to set its x-coordinate to 7.,4
scan.close();,Close input,We close the scanner as we do not want to process any input from the user in the rest of the program.,2
if ( num > 0 ) {,"Finds ""num"" greater than zero","If the integer is neither positive nor negative, then we could conclude that the integer is zero.",1
if ( num > 0 ) {,"Finds ""num"" greater than zero","The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",1
if ( num > 0 ) {,"Finds ""num"" greater than zero","To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",1
if ( num > 0 ) {,"Finds ""num"" greater than zero","Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",1
if ( num > 0 ) {,"Finds ""num"" greater than zero","If both of these tests fail, then we could conclude that the integer is zero.",1
"System.out.println(""The integer is positivie."");",Prints if the number is positive,This statement prints that the integer is positive.,4
"System.out.println(""The integer is positivie."");",Prints if the number is positive,The printed text is followed by the end-of-line character at the end.,1
} else if ( num < 0 ) {,"Finds ""num"" less than zero","If the first test fails (i.e., when the integer is not positive), we need to test if the integer is negative.",2
"point.translate(11, 6);",This increments the x variable from the Point1 object by 11 and also increments the y variable by 6.,This statement invokes the method translate of the point.,2
"point.translate(11, 6);",This increments the x variable from the Point1 object by 11 and also increments the y variable by 6.,The second parameter specifies how much we want to shift the y-coordinate of the point.,2
"point.translate(11, 6);",This increments the x variable from the Point1 object by 11 and also increments the y variable by 6.,The translate method receives two parameters.,1
"point.translate(11, 6);",This increments the x variable from the Point1 object by 11 and also increments the y variable by 6.,The first parameter specifies how much we want to shift the x-coordinate of the point.,2
"System.out.println(""The integer is negative."");",Output if the number is negative,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is negative."");",Output if the number is negative,This statement prints that the integer is negative.,5
Scanner scan = new Scanner(System.in);,"introduce a new input scanner named ""scan""","To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,"introduce a new input scanner named ""scan""",We need to read and process the value that the user enters.,2
} else {,If it is not negative or positive,"We need to end the above if-else if statements with an else statement that its body is executed when none of the above tests are true, that is when the integer is zero.",3
"System.out.println(""The integer is zero."");",Prints that the number is equal to 0,The printed text is followed by the end-of-line character at the end.,1
